timestamp,open,high,low,close,volume
2023-01-01 00:00:00,16541.77,16559.77,16508.39,16533.04,15515.82327
2023-01-01 04:00:00,16533.04,16550.0,16499.01,16526.19,16532.24115
2023-01-01 08:00:00,16525.7,16557.0,16505.2,16556.66,15915.96701
2023-01-01 12:00:00,16556.66,16572.94,16533.68,16558.73,15046.09096
2023-01-01 16:00:00,16558.73,16623.65,16558.0,16603.08,18532.64857
2023-01-01 20:00:00,16603.53,16628.0,16586.24,16616.75,15382.64278
2023-01-02 00:00:00,16617.17,16707.25,16548.7,16661.94,19463.4751
2023-01-02 04:00:00,16662.38,16769.51,16619.44,16721.28,26026.88178
2023-01-02 08:00:00,16721.27,16772.01,16704.07,16735.11,23267.94119
2023-01-02 12:00:00,16735.51,16750.0,16669.15,16734.66,21747.21491
2023-01-02 16:00:00,16734.66,16739.64,16707.12,16737.56,12314.73653
2023-01-02 20:00:00,16737.56,16799.23,16660.51,16672.87,19068.3224
2023-01-03 00:00:00,16672.78,16706.14,16647.81,16691.81,20183.45596
2023-01-03 04:00:00,16691.81,16778.4,16681.79,16729.74,21434.34333
2023-01-03 08:00:00,16730.15,16766.0,16698.15,16721.03,25576.16376
2023-01-03 12:00:00,16721.42,16773.0,16617.79,16676.94,42131.78382
2023-01-03 16:00:00,16677.54,16688.2,16605.28,16643.37,29519.13275
2023-01-03 20:00:00,16643.77,16695.0,16640.4,16675.18,20696.65771
2023-01-04 00:00:00,16675.65,16877.65,16652.66,16862.02,41904.57254
2023-01-04 04:00:00,16862.61,16910.98,16840.36,16869.44,30270.2531
2023-01-04 08:00:00,16869.49,16919.0,16831.13,16835.35,30320.64004
2023-01-04 12:00:00,16835.35,16863.09,16765.3,16854.05,40843.05953
2023-01-04 16:00:00,16853.55,16991.87,16787.85,16842.36,52076.35176
2023-01-04 20:00:00,16842.32,16869.56,16777.0,16850.36,24947.31165
2023-01-05 00:00:00,16850.36,16878.18,16807.72,16827.71,21763.76721
2023-01-05 04:00:00,16827.71,16849.37,16789.87,16823.64,21213.55835
2023-01-05 08:00:00,16823.05,16839.0,16780.75,16833.6,26296.22105
2023-01-05 12:00:00,16833.6,16879.82,16753.0,16842.94,41963.23448
2023-01-05 16:00:00,16842.94,16875.5,16800.5,16863.85,30157.4645
2023-01-05 20:00:00,16864.29,16873.52,16818.91,16831.85,22079.32082
2023-01-06 00:00:00,16831.85,16872.57,16802.01,16833.56,22896.56633
2023-01-06 04:00:00,16833.56,16837.87,16779.96,16794.06,24759.51652
2023-01-06 08:00:00,16794.33,16812.22,16709.88,16738.22,29976.56156
2023-01-06 12:00:00,16738.74,16849.0,16679.0,16840.82,52584.91113
2023-01-06 16:00:00,16840.1,16965.41,16805.04,16939.91,42771.69765
2023-01-06 20:00:00,16940.41,17041.0,16886.21,16950.65,34412.03096
2023-01-07 00:00:00,16950.31,16981.91,16930.46,16952.46,17943.00432
2023-01-07 04:00:00,16952.73,16954.45,16922.14,16948.09,15480.43183
2023-01-07 08:00:00,16948.18,16954.95,16908.07,16918.3,18936.72265
2023-01-07 12:00:00,16918.3,16947.7,16908.0,16940.42,20650.09476
2023-01-07 16:00:00,16940.6,16946.13,16916.0,16944.05,16073.99982
2023-01-07 20:00:00,16944.05,16951.92,16929.46,16943.57,15442.31542
2023-01-08 00:00:00,16943.83,16955.0,16911.0,16944.02,18295.79671
2023-01-08 04:00:00,16944.02,16957.12,16933.26,16953.77,14667.61069
2023-01-08 08:00:00,16953.77,16967.67,16925.05,16927.42,20434.41029
2023-01-08 12:00:00,16927.42,17019.79,16920.37,17000.43,23086.53831
2023-01-08 16:00:00,17000.43,17022.08,16916.1,16927.25,23557.66783
2023-01-08 20:00:00,16927.25,17176.99,16924.41,17127.83,35113.87312
2023-01-09 00:00:00,17127.83,17252.6,17104.66,17197.0,50799.16414
2023-01-09 04:00:00,17197.0,17262.56,17180.0,17198.48,33546.34885
2023-01-09 08:00:00,17198.01,17285.48,17186.95,17238.93,38468.19722
2023-01-09 12:00:00,17239.47,17335.35,17190.74,17268.49,50514.03168
2023-01-09 16:00:00,17268.49,17398.8,17268.02,17293.69,52520.91466
2023-01-09 20:00:00,17294.19,17313.3,17128.0,17178.26,40362.87068
2023-01-10 00:00:00,17179.04,17235.0,17146.34,17205.72,30946.1691
2023-01-10 04:00:00,17205.31,17233.91,17189.15,17203.2,25989.57305
2023-01-10 08:00:00,17203.2,17286.02,17187.73,17252.89,31083.00421
2023-01-10 12:00:00,17252.89,17375.0,17212.14,17327.7,57523.3681
2023-01-10 16:00:00,17327.7,17456.07,17282.0,17432.85,43079.81645
2023-01-10 20:00:00,17432.85,17499.0,17403.73,17440.66,32760.4949
2023-01-11 00:00:00,17440.64,17510.0,17366.58,17416.14,31946.4848
2023-01-11 04:00:00,17416.49,17462.99,17388.0,17446.65,29726.8908
2023-01-11 08:00:00,17447.02,17472.15,17408.68,17437.75,29986.37534
2023-01-11 12:00:00,17437.75,17437.75,17315.6,17332.43,49062.38496
2023-01-11 16:00:00,17331.9,17571.7,17320.42,17550.29,55789.51498
2023-01-11 20:00:00,17549.62,18000.0,17508.86,17943.26,65709.95565
2023-01-12 00:00:00,17943.26,18385.71,17907.25,18224.68,82494.53271
2023-01-12 04:00:00,18224.68,18241.43,18075.19,18138.22,37256.18339
2023-01-12 08:00:00,18138.21,18222.59,18071.06,18200.8,34254.13454
2023-01-12 12:00:00,18200.8,18380.47,17892.05,18086.62,130706.45782
2023-01-12 16:00:00,18087.28,19060.0,18054.61,18885.35,110884.4527
2023-01-12 20:00:00,18885.35,19117.04,18762.0,18846.62,58972.56062
2023-01-13 00:00:00,18846.62,18887.0,18714.12,18876.37,41728.30446
2023-01-13 04:00:00,18876.37,18883.79,18778.41,18824.25,33637.34382
2023-01-13 08:00:00,18825.0,19057.7,18810.01,18920.95,53635.34061
2023-01-13 12:00:00,18920.95,19310.91,18811.52,19261.19,84962.31802
2023-01-13 16:00:00,19261.19,19406.26,19060.15,19362.01,76088.31369
2023-01-13 20:00:00,19363.43,20000.0,19315.77,19930.01,78564.25763
2023-01-14 00:00:00,19930.01,21258.0,19888.05,20967.23,132906.52741
2023-01-14 04:00:00,20967.23,21033.64,20777.37,20897.36,44676.34594
